Gene	signal_to_noise_ratio
200067_x_at	-0.32974728304619755
STX8	-0.32968567903740387
C5orf13	-0.3296823059016129
NDUFA7	-0.32957150194475826
8-Sep	-0.32952870380749677
FLJ22405	-0.32933597610202875
ELOVL2	-0.3293243539917397
FLJ20125	-0.3289198394043299
PCNP	-0.3287590248090086
LARS	-0.3283187606779096
RPL36A	-0.32803583902983613
TIMP4	-0.3278066781205201
CAMLG	-0.3277594881409441
RPL31	-0.3277046477213954
ADAMTS1	-0.3273374673125188
217468_at	-0.3271012576285339
DC8	-0.3269163077118351
RPL36	-0.3258883951798689
DKFZp434N2030	-0.3256826353208129
WDR3	-0.3256676666680657
CBLB	-0.3256492125955563
HAS1	-0.32555182901350066
CXCL2	-0.3251942993371914
PCDHA2	-0.3250855110944149
TSSC1	-0.3248580742021294
GMPS	-0.3248337391110544
C6orf27	-0.3247761798116262
208273_at	-0.3246379724422525
GCSH	-0.32461711404381355
ADCY1	-0.32451841556792443
INPP5F	-0.324392504691041
TERF1	-0.324108866831827
222319_at	-0.3238104076893736
FLJ11773	-0.32377233782220965
FLJ10276	-0.32349133664274454
SLC18A1	-0.32320820421448293
HIVEP1	-0.3230759174934585
MAP3K12	-0.3229833388533621
GPR31	-0.3225933430296853
NFYB	-0.32243003210897503
RAB9P40	-0.32233830360695337
TRAPPC3	-0.3221441670232278
ARNT2	-0.32168860292819906
PTP4A3	-0.32164977632099784
NFKBIL1	-0.321001526530388
ADIPOR2	-0.32097050460711446
P2RY5	-0.32090602364397935
ACVR2B	-0.3205598724712305
PLGL	-0.32040248985128517
BCAS2	-0.32031569096400636
ALDH9A1	-0.32012395148888795
CHD1L	-0.3200447154114997
FLJ21827	-0.32000536211515795
CXorf40	-0.319714179479837
RPL12	-0.31970587323145344
217679_x_at	-0.31963361592851136
SPINK5	-0.3195325254122816
CCNL1	-0.3195050148391867
FLJ21816	-0.31938563296223993
GIMAP4	-0.31934078004943045
GPR87	-0.3191811160854226
C21orf2	-0.31914778410296035
213141_at	-0.31903942549250003
LYPLA3	-0.31903068933442774
222379_at	-0.3187197220758093
HMBS	-0.31866111488914967
C9orf3	-0.31863694587537816
NPY	-0.31852531714022075
FKBP2	-0.3183449168828971
ARMC4	-0.31811752390100284
TIMELESS	-0.3179338912008883
SCGB1D2	-0.31789127845582194
GUCA1B	-0.31788332028522975
ELA2B	-0.3177906363640371
THBS1	-0.31760872511452864
KIAA1654	-0.3174858831541037
COX7A2	-0.317392134993814
LPL	-0.3172646665347516
KIAA0040	-0.3171840810959818
RANBP17	-0.3171429615559622
SLC2A3	-0.3171142453629666
PPP1CC	-0.31711047123167724
CD24	-0.3170704333486235
217629_at	-0.31702271836731205
PC4	-0.31698259184167815
IL19	-0.31668639471236315
SDC4	-0.31667474769854614
NME2	-0.316659848584693
MRPS12	-0.3163823138748898
FLJ20156	-0.3162066768023326
S100A7	-0.31616877679326755
LOC442504 /// PMS2	-0.31592216172636756
TCF2	-0.315763827078781
TBCA	-0.3155300328942888
DTR	-0.31543787912172994
PAX6	-0.315305878916064
MAT2A	-0.3152792894212226
ATP1B3	-0.31524078468560995
FLJ13265	-0.31509450282599233
RPL18	-0.31470397338952116
NUBP2	-0.31457567012453486
FCAR	-0.3143460752096554
CYSLTR2	-0.31434042434244364
IFNAR1	-0.31425830018225964
FLJ21106	-0.3142524522001378
RWDD3	-0.31400713158561144
HNRPD	-0.3138471421349518
B4GALT2	-0.313344036469024
KIAA1661	-0.31333199649784416
214332_s_at	-0.31321588396040567
C1orf9	-0.31321261899473535
CBX3	-0.31311615998756037
FLJ20534	-0.31304171927742497
NUP188	-0.31274355751477284
CSPG5	-0.31269424262014484
211452_x_at	-0.31266043047861175
FCN1	-0.3126600178307094
